,App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Application Type,Country Count,Countries
10,Body Temperature Thermometer,PEGI 12,0.0,True,3.8,6820,https://play.google.com/store/apps/details?id=com.bodytemperatureThermometer.feverRecordsdiary,"Nov 21, 2021","Oct 15, 2020","1,000,000+",1.2,MEDICAL,37,"FO,PT,HR,IT,SM,GI,FI,EE,SI,ES,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,AT,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GR,GP,GF"
11,Calcium Pro,PEGI 3,0.89,False,0.0,0,https://play.google.com/store/apps/details?id=com.haneke.parathyroid,"Jun 16, 2022","Mar 15, 2013","10,000+",1.7.4,MEDICAL,35,"FO,PT,HR,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,WF,NC,NO,MT,BL,NL,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
12,Essential Anatomy 5,PEGI 3,14.99,False,3.5,2240,https://play.google.com/store/apps/details?id=com.the3d4medical.EssentialAnatomy,"Feb 1, 2022","May 14, 2014","50,000+",1.2.0,MEDICAL,45,"FO,PT,HR,IT,DE,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,SE,PM,RE,PL,GR,DK,GP,GF"
13,Human Anatomy Atlas 2022＋,PEGI 3,0.0,True,0.0,0,https://play.google.com/store/apps/details?id=com.visiblebody.subscription,"May 23, 2022","Mar 7, 2022","10,000+",1.01.014,MEDICAL,47,"FO,PT,HR,IT,SM,GI,DE,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,NO,MT,MC,BL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,FR,PM,RE,PL,GR,DK,GP,GF"
14,SnoreGym : Reduce Your Snoring,PEGI 3,4.19,False,4.7,951,https://play.google.com/store/apps/details?id=com.snorelab.snoregym,"Jan 15, 2021","Feb 3, 2020","50,000+",1.0.8,MEDICAL,43,"FO,PT,HR,DE,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,FR,PM,RE,PL,GR,DK,GP,GF"
15,Lady Pill Widgets,PEGI 3,1.99,False,4.8,1340,https://play.google.com/store/apps/details?id=com.baviux.pillreminderwidget,"Sep 4, 2018","Dec 21, 2012","10,000+",1.2.4,MEDICAL,40,"FO,PT,HR,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
16,Cardiac diagnosis-heart rate,PEGI 3,11.99,False,3.8,431,https://play.google.com/store/apps/details?id=com.sdk.cardiac_diagnosis,"Apr 20, 2022","Jun 20, 2018","5,000+",25,MEDICAL,40,"FO,PT,HR,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
17,MDonCall - Practical Guide,PEGI 3,9.99,False,4.4,51,https://play.google.com/store/apps/details?id=com.mdoncall,"May 19, 2022","Oct 25, 2012","5,000+",6.1.7,MEDICAL,39,"FO,PT,HR,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
18,Fetal calculator PRO,PEGI 3,13.49,False,0.0,0,https://play.google.com/store/apps/details?id=com.profile.ifetal_premium,"Mar 3, 2020","Sep 6, 2018","1,000+",1.1.1,MEDICAL,41,"FO,PT,HR,IT,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
19,Albert Health Assistant,PEGI 3,0.0,True,0.0,0,https://play.google.com/store/apps/details?id=albert.health,"May 31, 2022","Jul 7, 2019","100,000+",1.41.2,MEDICAL,30,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
20,Critical - Medical Guide,PEGI 3,13.49,False,0.0,0,https://play.google.com/store/apps/details?id=com.iotait.criticalx,"Mar 1, 2020","Mar 1, 2020","1,000+",2.0,MEDICAL,40,"FO,PT,HR,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
21,ЕАПТЕКА — онлайн аптека,PEGI 3,0.0,False,4.5,227000,https://play.google.com/store/apps/details?id=ru.getpharma.eapteka,"Jun 20, 2022","Jan 23, 2016","5,000,000+",22.5.2,MEDICAL,31,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
22,Mein Laborergebnis,PEGI 3,0.0,False,0.0,0,https://play.google.com/store/apps/details?id=de.itech_gmbh.meinlaborergebnis,"Apr 5, 2022","Apr 7, 2020","1,000,000+",1.4.1,MEDICAL,33,"FO,HR,SM,GI,DE,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,AT,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
23,Johns Hopkins Guides ABX...,PEGI 3,0.0,True,5.0,662,https://play.google.com/store/apps/details?id=com.unbound.android.ubjhl,"May 2, 2022","Jan 20, 2016","10,000+",2.8.10,MEDICAL,38,"FO,PT,HR,IT,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BG,WF,LI,AX,NC,NO,MT,BL,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,PM,RE,GR,DK,GP,GF"
24,Saunders Comp Review NCLEX RN,PEGI 3,0.0,True,4.1,1460,https://play.google.com/store/apps/details?id=com.medpresso.testzapp.crnclex_rn,"Jun 14, 2022","Mar 13, 2018","100,000+",4.6.10,MEDICAL,41,"FO,PT,HR,SM,GI,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,NO,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,PM,RE,GR,DK,GP,GF"
25,Preventicus Heartbeats,PEGI 3,0.0,True,3.3,1890,https://play.google.com/store/apps/details?id=com.preventicus.heartbeats,"Feb 11, 2022","Jul 20, 2016","100,000+",1.6.16,MEDICAL,41,"FO,PT,HR,IT,DE,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,FR,PM,RE,GR,DK,GP,GF"
26,Migraine Buddy: Track Headache,PEGI 3,0.0,True,4.7,48700,https://play.google.com/store/apps/details?id=com.healint.migraineapp,"May 5, 2022","Jul 8, 2014","1,000,000+",50.0.1651284433,MEDICAL,43,"FO,PT,HR,SM,GI,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,NO,MT,MC,BL,NL,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,FR,PM,RE,GR,DK,GP,GF"
27,TousAntiCovid,PEGI 3,0.0,False,4.2,225000,https://play.google.com/store/apps/details?id=fr.gouv.android.stopcovid,"Jun 20, 2022","Jun 2, 2020","10,000,000+",4.3.0,MEDICAL,40,"FO,PT,HR,SM,GI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,MT,MC,BL,AT,LV,CY,LT,YT,MF,LU,MQ,GB,FR,PM,RE,GP,GF"
28,A Manual of Acupuncture,PEGI 3,0.0,True,3.4,549,https://play.google.com/store/apps/details?id=com.cards,"Sep 27, 2020","Sep 25, 2014","10,000+",3.2.0,MEDICAL,39,"FO,PT,HR,IT,DE,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,AX,NC,NO,MT,BL,NL,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,GR,DK,GP,GF"
29,Lexicomp,PEGI 3,0.0,True,4.4,2470,https://play.google.com/store/apps/details?id=com.lexi.android,"Apr 19, 2022","Apr 7, 2010","500,000+",Varies with device,MEDICAL,41,"FO,PT,HR,SM,GI,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,NO,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,PM,RE,GR,DK,GP,GF"
30,Pregnancy Tracker,PEGI 3,0.0,True,4.9,313000,https://play.google.com/store/apps/details?id=com.easymobs.pregnancy,"Jun 21, 2022","May 4, 2016","5,000,000+",1.2.84,MEDICAL,34,"FO,HR,SM,GI,EE,SI,GL,IE,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,GB,PM,RE,GR,GP,GF"
31,SMUR BMPM,PEGI 18,10.49,False,0.0,0,https://play.google.com/store/apps/details?id=com.SMUR.smurbmpm,"May 31, 2021","May 14, 2014","1,000+",4.3.8,MEDICAL,20,"FO,HR,FI,EE,HU,SI,GL,RO,SK,SJ,IS,LI,NO,MT,LV,CY,LT,FR,GR,DK"
32,Horse Anatomy: Equine 3D,PEGI 3,4.59,False,3.0,116,https://play.google.com/store/apps/details?id=com.realbodywork.horseanatomy,"Jul 20, 2021","Dec 5, 2013","5,000+",2.10,MEDICAL,40,"FO,PT,HR,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,PM,RE,PL,GR,DK,GP,GF"
33,Blood Pressure App: Heart Rate,PEGI 3,0.0,True,0.0,0,https://play.google.com/store/apps/details?id=blood.pressure.heart.rate.monitor.pulse.tracker.app.hch,"May 22, 2022","Dec 13, 2021","100,000+",1.4.2,MEDICAL,47,"FO,PT,HR,IT,SM,GI,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,NO,MT,MC,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,SE,PM,RE,PL,GR,DK,GP,GF"
34,Anatomy 3D Atlas,PEGI 3,0.0,True,3.9,13100,https://play.google.com/store/apps/details?id=com.catfishanimationstudio.MuscularSystemLite,"Apr 27, 2021","Sep 8, 2015","1,000,000+",3.1.1,MEDICAL,42,"FO,PT,HR,IT,DE,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,BG,WF,LI,AX,NC,NO,MT,BL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,FR,PM,RE,GR,DK,GP,GF"
35,"Ovy – period, ovulation, cycle",PEGI 12,0.0,True,3.0,3710,https://play.google.com/store/apps/details?id=com.ovyapp.android,"May 23, 2022","May 12, 2017","100,000+",6.0.3,MEDICAL,45,"FO,PT,HR,SM,GI,DE,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,NO,MT,MC,BL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,SE,PM,RE,PL,GR,DK,GP,GF"
36,"Artmed +PSI - Psicofármacos, Guidelines, DSM, CID",PEGI 3,0.0,True,0.0,0,https://play.google.com/store/apps/details?id=br.com.consultamaisrapida.psiquiatria,"Sep 5, 2021","Sep 17, 2020","10,000+",1.0.0,MEDICAL,26,"FO,PT,HR,SM,GI,EE,HU,SI,GL,RO,SK,SJ,IS,VA,BG,LI,NO,MT,MC,LV,CY,LT,LU,CZ,GR,DK"
37,Apteka.RU,None,0.0,False,4.7,186000,https://play.google.com/store/apps/details?id=ru.apteka,"Jun 17, 2022","May 25, 2020","5,000,000+",4.0.28.22342537,MEDICAL,31,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
38,amma Pregnancy & Baby Tracker,PEGI 3,0.0,True,4.3,287000,https://play.google.com/store/apps/details?id=ru.mobiledimension.kbr,"Jun 21, 2022","May 25, 2015","10,000,000+",3.12.0.11,MEDICAL,32,"FO,PT,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
39,Diabetes:M - Management & Blood Sugar Tracker App,PEGI 3,0.0,True,4.2,21900,https://play.google.com/store/apps/details?id=com.mydiabetes,"Jan 10, 2022","Apr 16, 2013","500,000+",8.0.13,MEDICAL,47,"FO,PT,HR,IT,SM,GI,DE,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,AX,NC,NO,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,FR,SE,PM,RE,PL,GR,DK,GP,GF"
40,Anatomy Learning - 3D Anatomy,PEGI 3,0.0,True,4.4,103000,https://play.google.com/store/apps/details?id=com.AnatomyLearning.Anatomy3DViewer3,"Mar 29, 2022","Mar 20, 2014","5,000,000+",2.1.351,MEDICAL,50,"FO,PT,HR,IT,SM,GI,DE,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,NO,MT,MC,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,FR,SE,PM,RE,PL,GR,DK,GP,GF"
41,Muscle Premium,PEGI 3,22.49,True,3.9,460,https://play.google.com/store/apps/details?id=com.visiblebody.musclepremium,"Aug 11, 2017","Oct 4, 2016","10,000+",7.1.17,MEDICAL,42,"FO,PT,HR,DE,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
42,Vargo Anesthesia Mega App,PEGI 3,79.99,False,0.0,0,https://play.google.com/store/apps/details?id=com.vargoanesthesia.masterapp,"Jun 3, 2022","Feb 14, 2014","5,000+",19.5.2,MEDICAL,39,"FO,PT,HR,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
43,MedShr: Discuss Clinical Cases,PEGI 3,0.0,False,4.5,10200,https://play.google.com/store/apps/details?id=net.medshr.android,"Feb 25, 2022","Jul 29, 2015","1,000,000+",15.12.1,MEDICAL,31,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
44,Biloba - On-demand pediatrics,PEGI 3,0.0,True,0.0,0,https://play.google.com/store/apps/details?id=ba.bilo.mc,"Jun 7, 2022","Jul 10, 2020","50,000+",1.38.3,MEDICAL,42,"FO,PT,HR,SM,GI,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,NO,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,CZ,FR,PM,RE,GR,DK,GP,GF"
45,My Calendar - Period Tracker,PEGI 3,0.0,True,4.9,385000,https://play.google.com/store/apps/details?id=com.lbrc.PeriodCalendar,"Jun 20, 2022","Aug 16, 2015","10,000,000+",8.3.1,MEDICAL,50,"FO,PT,HR,IT,SM,GI,DE,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,NO,MT,MC,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,FR,SE,PM,RE,PL,GR,DK,GP,GF"
46,3D Anatomy,PEGI 3,2.39,False,4.7,2400,https://play.google.com/store/apps/details?id=com.hssn.anatomy3d,"Mar 12, 2022","Sep 1, 2013","100,000+",6.2,MEDICAL,40,"FO,PT,HR,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
47,Pregnancy Food Guide PRO,PEGI 3,1.69,False,0.0,0,https://play.google.com/store/apps/details?id=air.com.kigorosa.lebensmittelampel,"Jul 27, 2020","Jul 6, 2015","5,000+",1.1.3,MEDICAL,39,"FO,PT,HR,DE,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BG,WF,LI,AX,NC,NO,MT,BL,NL,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
48,Netmeds - India Ki Pharmacy,PEGI 3,0.0,False,4.4,461000,https://play.google.com/store/apps/details?id=com.NetmedsMarketplace.Netmeds,"May 12, 2022","Nov 8, 2015","10,000,000+",8.2.34,MEDICAL,31,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
49,VIDAL Mobile,PEGI 3,0.0,True,4.1,6580,https://play.google.com/store/apps/details?id=com.mobicrea.vidal,"Apr 26, 2022","Feb 21, 2013","500,000+",Varies with device,MEDICAL,44,"FO,PT,HR,IT,SM,GI,DE,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,NO,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,CZ,FR,PM,RE,GR,DK,GP,GF"
50,PMED - Preço de Procedimento,PEGI 3,4.19,True,0.0,0,https://play.google.com/store/apps/details?id=oaz.soft,"Jun 9, 2022","Aug 22, 2012","5,000+",11.8,MEDICAL,40,"FO,PT,HR,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
51,Alodokter —Chat Bersama Dokter,PEGI 3,0.0,True,4.5,428000,https://play.google.com/store/apps/details?id=com.alodokter.android,"Jun 5, 2022","Mar 13, 2016","5,000,000+",4.4.0,MEDICAL,31,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
52,Conecte SUS,PEGI 3,0.0,False,4.3,170000,https://play.google.com/store/apps/details?id=br.gov.datasus.cnsdigital,"May 5, 2022","Aug 26, 2015","10,000,000+",70.5.3,MEDICAL,32,"FO,PT,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
53,AVAX Blood Pressure Diary,PEGI 3,0.0,True,4.5,6420,https://play.google.com/store/apps/details?id=app.avax.health,"Jun 16, 2022","Dec 31, 2018","100,000+",6.9.5,MEDICAL,44,"FO,PT,HR,IT,SM,GI,DE,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,VA,WF,LI,AX,NC,NO,MT,MC,BL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,PM,RE,GR,DK,GP,GF"
54,Practo: Online Doctor Consultations & Appointments,PEGI 3,0.0,False,4.5,223000,https://play.google.com/store/apps/details?id=com.practo.fabric,"Jun 19, 2022","May 21, 2015","5,000,000+",5.41,MEDICAL,31,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
55,Аптека Апрель,PEGI 3,0.0,False,0.0,0,https://play.google.com/store/apps/details?id=com.apteka.sklad,"Jun 2, 2022","Aug 3, 2018","1,000,000+",2.3.0,MEDICAL,31,"FO,HR,SM,GI,EE,SI,GL,SK,PF,SJ,IS,VA,BG,WF,LI,AX,NC,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,PM,RE,GP,GF"
56,OptoDrum,PEGI 3,4.75,False,0.0,0,https://play.google.com/store/apps/details?id=com.linsay.optodrumandroid,"Oct 15, 2020","May 23, 2015","5,000+",1.0.2,MEDICAL,40,"FO,PT,HR,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
57,Anatomy Quiz Pro,PEGI 3,3.49,False,0.0,0,https://play.google.com/store/apps/details?id=de.streuer.alexander.anatomyquizpro,"Aug 24, 2021","Dec 27, 2015","5,000+",4.8.1,MEDICAL,40,"FO,PT,HR,DE,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
58,Sanvello: Anxiety & Depression,None,0.0,True,4.5,23300,https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica,"Jun 15, 2022","Jan 26, 2015","1,000,000+",8.54.0,MEDICAL,44,"FO,PT,HR,SM,GI,FI,EE,HU,SI,ES,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,NO,MT,MC,BL,LV,CY,LT,YT,MF,LU,MQ,CZ,GB,FR,PM,RE,GR,DK,GP,GF"
59,Diseases & Disorders,PEGI 3,0.89,False,0.0,0,https://play.google.com/store/apps/details?id=com.soft24hours.directorys.medical.diseasemulti.paid,"Apr 16, 2020","Apr 5, 2016","5,000+",Varies with device,MEDICAL,41,"FO,PT,HR,DE,FI,EE,HU,SI,GL,IE,RO,SK,PF,SJ,IS,BE,BG,WF,LI,AX,NC,NO,MT,BL,NL,AT,LV,CY,LT,YT,MF,LU,MQ,CZ,PM,RE,PL,GR,DK,GP,GF"
60,Doctolib,PEGI 3,0.0,False,4.5,330000,https://play.google.com/store/apps/details?id=fr.doctolib.www,"Jun 14, 2022","Mar 11, 2020","10,000,000+",3.4.11,MEDICAL,40,"FO,PT,HR,IT,SM,GI,DE,EE,SI,GL,IE,RO,SK,PF,SJ,IS,VA,BE,BG,WF,LI,AX,NC,MT,MC,BL,AT,LV,CY,LT,YT,MF,LU,MQ,FR,PM,RE,GR,GP,GF"
