,App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code,Application Type
3236,HelsaMi,PEGI 3,0,False,,,https://play.google.com/store/apps/details?id=no.helseplattformen.helsami,"May 6, 2022","Apr 11, 2022","5,000+ ",10.1.5,NO,MEDICAL
3237,Paediatric Emergencies,PEGI 3,£4.99,False,4.7,122,https://play.google.com/store/apps/details?id=com.itdcs.paediatricemergency,"Jan 9, 2022","Apr 1, 2014","5,000+ ",22.01,NO,MEDICAL
3238,Complete Anatomy 2022,PEGI 3,0,True,3.6,6.72K,https://play.google.com/store/apps/details?id=com.a3d4medical.completeanatomy,"May 23, 2022","Jun 19, 2018","500,000+ ",8.6.0,NO,MEDICAL
3239,CONTOUR DIABETES app (NO),PEGI 3,,False,,,https://play.google.com/store/apps/details?id=com.ascensia.contour.no,"May 30, 2022",,"10,000+ ",3.1.0,NO,MEDICAL
3240,Sanvello: Anxiety & Depression,None,0,True,4.5,23.3K,https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica,"Jun 15, 2022","Jan 26, 2015","1,000,000+ ",8.54.0,NO,MEDICAL
3241,MindDoc: Your Companion,PEGI 3,0,True,4.4,37.5K,https://play.google.com/store/apps/details?id=de.moodpath.android,"Jun 1, 2022","Jul 3, 2017","1,000,000+ ",4.17.4,NO,MEDICAL
3242,Anatomy 3D Atlas,PEGI 3,0,True,3.9,13.1K,https://play.google.com/store/apps/details?id=com.catfishanimationstudio.MuscularSystemLite,"Apr 27, 2021","Sep 8, 2015","1,000,000+ ",3.1.1,NO,MEDICAL
3243,Agria Vårdguide,PEGI 3,,False,,,https://play.google.com/store/apps/details?id=com.vethem,"Jun 17, 2022","Aug 29, 2018","100,000+ ",22.6.2,NO,MEDICAL
3244,Anatomy Learning - 3D Anatomy,PEGI 3,0,True,4.4,103K,https://play.google.com/store/apps/details?id=com.AnatomyLearning.Anatomy3DViewer3,"Mar 29, 2022","Mar 20, 2014","5,000,000+ ",2.1.351,NO,MEDICAL
3245,Davis's Drug Guide for Nurses,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=com.usbmis.reader.dadg,"Jun 4, 2022","Jul 5, 2011","100,000+ ",6.3.1.475,NO,MEDICAL
3246,Calcium Pro,PEGI 3,£0.89,False,,,https://play.google.com/store/apps/details?id=com.haneke.parathyroid,"Jun 16, 2022","Mar 15, 2013","10,000+ ",1.7.4,NO,MEDICAL
3247,Geeky Medics - OSCE revision,PEGI 3,0,True,3.8,941,https://play.google.com/store/apps/details?id=com.geekymedics.oscerevision,"Nov 8, 2021","May 9, 2016","100,000+ ",3.75,NO,MEDICAL
3248,MEDCode: Bulários e Condutas,PEGI 3,0,True,5.0,2.03K,https://play.google.com/store/apps/details?id=br.com.medsos.sosplantao,"Jun 22, 2022","Mar 28, 2019","50,000+ ",3.0.3,NO,MEDICAL
3249,Recognise Foot,PEGI 3,£6.99,False,,,https://play.google.com/store/apps/details?id=au.com.appliquette.recognise.foot,"May 16, 2019","Mar 2, 2016","5,000+ ",1.0.6,NO,MEDICAL
3250,Whitebook Medicina: Residência,PEGI 3,0,True,4.4,10.3K,https://play.google.com/store/apps/details?id=com.medprescricao,"Jun 23, 2022","Apr 10, 2013","1,000,000+ ",11.13.0,NO,MEDICAL
3251,myPhonak,PEGI 3,0,False,2.3,7.15K,https://play.google.com/store/apps/details?id=com.sonova.phonak.dsapp,"Feb 27, 2022","Aug 30, 2018","1,000,000+ ",4.0.6,NO,MEDICAL
3252,Critical - Medical Guide,PEGI 3,£13.49,False,,,https://play.google.com/store/apps/details?id=com.iotait.criticalx,"Mar 1, 2020","Mar 1, 2020","1,000+ ",2.0,NO,MEDICAL
3253,Sanford Guide,PEGI 3,0,True,4.2,3.48K,https://play.google.com/store/apps/details?id=com.sanfordguide.amt,"May 10, 2022","Aug 4, 2014","100,000+ ",5.1.13,NO,MEDICAL
3254,GlassesOff,PEGI 3,0,True,3.5,1.5K,https://play.google.com/store/apps/details?id=com.glassesoff.android,"Apr 19, 2021","Jun 27, 2014","100,000+ ",1.0.0.27,NO,MEDICAL
3255,Eyr - meet a doctor by video,PEGI 3,,False,,,https://play.google.com/store/apps/details?id=com.eyr,"Jun 20, 2022",,"50,000+ ",3.12.0,NO,MEDICAL
3256,Human Anatomy Atlas 2021,PEGI 3,£21.49,True,4.5,10.1K,https://play.google.com/store/apps/details?id=com.visiblebody.atlas,"Mar 17, 2021","Sep 30, 2016","100,000+ ",2021.2.27,NO,MEDICAL
3257,SnoreGym : Reduce Your Snoring,PEGI 3,£4.19,False,4.7,951,https://play.google.com/store/apps/details?id=com.snorelab.snoregym,"Jan 15, 2021","Feb 3, 2020","50,000+ ",1.0.8,NO,MEDICAL
3258,Migraine Buddy: Track Headache,PEGI 3,0,True,4.7,48.7K,https://play.google.com/store/apps/details?id=com.healint.migraineapp,"May 5, 2022","Jul 8, 2014","1,000,000+ ",50.0.1651284433,NO,MEDICAL
3259,3D Anatomy,PEGI 3,£2.39,False,4.7,2.4K,https://play.google.com/store/apps/details?id=com.hssn.anatomy3d,"Mar 12, 2022","Sep 1, 2013","100,000+ ",6.2,NO,MEDICAL
3260,e-motion® M25,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=de.alber.emotion_m25,"Apr 13, 2022","Oct 2, 2018","5,000+ ",2.4.0.0-162,NO,MEDICAL
3261,Agria Djur,PEGI 3,,False,,,https://play.google.com/store/apps/details?id=se.agria.agria,"Nov 3, 2021",,"50,000+ ",1.7.1,NO,MEDICAL
3262,meditorium,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=com.schilumedia.meditorium,"May 27, 2022","Jul 24, 2013","50,000+ ",2.2.17,NO,MEDICAL
3263,Helseoversikt -Gravid&Foreldre,PEGI 3,,False,,,https://play.google.com/store/apps/details?id=no.helseoversikt.ideliver,"Jun 13, 2022",,"50,000+ ",2.2.32,NO,MEDICAL
3264,Hjelp 113,PEGI 3,0,False,4.7,1.66K,https://play.google.com/store/apps/details?id=com.favouritesystems.android.emergencyapp.nla113,"Jun 16, 2022","May 31, 2011","500,000+ ",5.0.12,NO,MEDICAL
3265,VeinSeek,PEGI 3,£2.99,False,1.4,359,https://play.google.com/store/apps/details?id=com.vs.veinseek,"Dec 5, 2017","Feb 10, 2017","10,000+ ",Varies with device,NO,MEDICAL
3266,Lady Pill Widgets,PEGI 3,£1.99,False,4.8,1.34K,https://play.google.com/store/apps/details?id=com.baviux.pillreminderwidget,"Sep 4, 2018","Dec 21, 2012","10,000+ ",1.2.4,NO,MEDICAL
3267,Medical ID (premium),PEGI 3,£4.99,False,4.7,2.23K,https://play.google.com/store/apps/details?id=app.medicalid,"May 9, 2022","Jun 28, 2014","10,000+ ",7.15.1,NO,MEDICAL
3268,Essential Anatomy 5,PEGI 3,£14.99,False,3.5,2.24K,https://play.google.com/store/apps/details?id=com.the3d4medical.EssentialAnatomy,"Feb 1, 2022","May 14, 2014","50,000+ ",1.2.0,NO,MEDICAL
3269,OptoDrum,PEGI 3,£4.75,False,,,https://play.google.com/store/apps/details?id=com.linsay.optodrumandroid,"Oct 15, 2020","May 23, 2015","5,000+ ",1.0.2,NO,MEDICAL
3270,Signia App,PEGI 3,0,False,2.5,6.94K,https://play.google.com/store/apps/details?id=com.signia.rta,"Jun 9, 2022","Sep 16, 2019","500,000+ ",2.5.70.6698,NO,MEDICAL
3271,Blodbanken,PEGI 3,,False,,,https://play.google.com/store/apps/details?id=qbase.blodbanken,"Jan 24, 2022",,"10,000+ ",0.5,NO,MEDICAL
3272,Saunders Comp Review NCLEX RN,PEGI 3,0,True,4.1,1.46K,https://play.google.com/store/apps/details?id=com.medpresso.testzapp.crnclex_rn,"Jun 14, 2022","Mar 13, 2018","100,000+ ",4.6.10,MT,MEDICAL
3273,질병관리청 COOV(코로나19 전자예방접종증명서),PEGI 3,0,False,,,https://play.google.com/store/apps/details?id=kr.go.kdca.coov,"Sep 30, 2021","Apr 20, 2021","10,000,000+ ",1.5.11,MT,MEDICAL
3274,Rost Moves for Mamas,PEGI 3,£4.19,False,,,https://play.google.com/store/apps/details?id=nl.xlwebsolutions.android.dynabloqs.rostmoves,"Jun 1, 2022","Apr 5, 2022",100+ ,1.16,MT,MEDICAL
3275,Pedi STAT,PEGI 3,£4.89,False,4.3,171,https://play.google.com/store/apps/details?id=com.qxmd.pedistat,"Nov 9, 2021","Oct 6, 2010","10,000+ ",3.0.5,MT,MEDICAL
3276,Аптека Апрель,PEGI 3,0,False,,,https://play.google.com/store/apps/details?id=com.apteka.sklad,"Jun 2, 2022","Aug 3, 2018","1,000,000+ ",2.3.0,MT,MEDICAL
3277,EMT PASS- NEW,PEGI 3,£18.49,False,,,https://play.google.com/store/apps/details?id=com.limmercreative.passengine.emt,"Apr 6, 2021","Mar 4, 2020","1,000+ ",1.1.3,MT,MEDICAL
3278,"Ovy – period, ovulation, cycle",PEGI 12,0,True,3.0,3.71K,https://play.google.com/store/apps/details?id=com.ovyapp.android,"May 23, 2022","May 12, 2017","100,000+ ",6.0.3,MT,MEDICAL
3279,COCOA - COVID-19 Contact App,PEGI 3,0,False,2.6,25.8K,https://play.google.com/store/apps/details?id=jp.go.mhlw.covid19radar,"Jun 5, 2022","Jun 11, 2020","10,000,000+ ",2.0.1,MT,MEDICAL
3280,Muscle Premium,PEGI 3,£22.49,True,3.9,460,https://play.google.com/store/apps/details?id=com.visiblebody.musclepremium,"Aug 11, 2017","Oct 4, 2016","10,000+ ",7.1.17,MT,MEDICAL
3281,Halodoc: Doctors & Medicines,PEGI 3,0,False,4.8,381K,https://play.google.com/store/apps/details?id=com.linkdokter.halodoc.android,"Jun 20, 2022","Mar 11, 2016","10,000,000+ ",13.200,MT,MEDICAL
3282,Alodokter —Chat Bersama Dokter,PEGI 3,0,True,4.5,428K,https://play.google.com/store/apps/details?id=com.alodokter.android,"Jun 5, 2022","Mar 13, 2016","5,000,000+ ",4.4.0,MT,MEDICAL
3283,Helsi,PEGI 3,0,False,4.3,41K,https://play.google.com/store/apps/details?id=helsi.me,"Jun 15, 2022","Nov 18, 2020","1,000,000+ ",1.0.98,MT,MEDICAL
3284,Guía Mensa,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=es.app.guia.mensa,"Jun 20, 2022","Mar 2, 2020","10,000+ ",3.111.0,MT,MEDICAL
3285,Eka Care: Healthcare & Records,PEGI 3,0,False,,,https://play.google.com/store/apps/details?id=eka.care,"Jun 15, 2022","May 14, 2021","1,000,000+ ",2.4.7,MT,MEDICAL
3286,BloodPressureDB,PEGI 3,0,True,3.5,4.63K,https://play.google.com/store/apps/details?id=net.klier.blutdruck,"Jun 7, 2022","Mar 30, 2011","500,000+ ",Varies with device,MT,MEDICAL
3287,Practo: Online Doctor Consultations & Appointments,PEGI 3,0,False,4.5,223K,https://play.google.com/store/apps/details?id=com.practo.fabric,"Jun 19, 2022","May 21, 2015","5,000,000+ ",5.41,MT,MEDICAL
3288,Squeezy: NHS Pelvic Floor App,PEGI 3,£2.99,False,4.6,3.25K,https://play.google.com/store/apps/details?id=com.propagator.squeezy,"Mar 4, 2019","Sep 17, 2014","50,000+ ",Varies with device,MT,MEDICAL
3289,Pregnancy Food Guide PRO,PEGI 3,£1.69,False,,,https://play.google.com/store/apps/details?id=air.com.kigorosa.lebensmittelampel,"Jul 27, 2020","Jul 6, 2015","5,000+ ",1.1.3,MT,MEDICAL
3290,MySOS,PEGI 3,0,False,1.8,1.68K,https://play.google.com/store/apps/details?id=net.allm.mysos,"Jun 10, 2022","Nov 3, 2015","500,000+ ",3.1.10,MT,MEDICAL
3291,Diabetes:M - Management & Blood Sugar Tracker App,PEGI 3,0,True,4.2,21.9K,https://play.google.com/store/apps/details?id=com.mydiabetes,"Jan 10, 2022","Apr 16, 2013","500,000+ ",8.0.13,MT,MEDICAL
3292,Horse Anatomy: Equine 3D,PEGI 3,£4.59,False,3.0,116,https://play.google.com/store/apps/details?id=com.realbodywork.horseanatomy,"Jul 20, 2021","Dec 5, 2013","5,000+ ",2.10,MT,MEDICAL
3293,Anatomy Quiz Pro,PEGI 3,£3.49,False,,,https://play.google.com/store/apps/details?id=de.streuer.alexander.anatomyquizpro,"Aug 24, 2021","Dec 27, 2015","5,000+ ",4.8.1,MT,MEDICAL
3294,Diseases & Disorders,PEGI 3,£0.89,False,,,https://play.google.com/store/apps/details?id=com.soft24hours.directorys.medical.diseasemulti.paid,"Apr 16, 2020","Apr 5, 2016","5,000+ ",Varies with device,MT,MEDICAL
3295,Medicina Hospitalaria,PEGI 3,£6.49,False,,,https://play.google.com/store/apps/details?id=lhidalgo42.nicolas.triantafilo,"Feb 17, 2019","Dec 10, 2017","10,000+ ",2.1.8,MT,MEDICAL
3296,mySugr - Diabetes Tracker Log,PEGI 3,0,True,4.4,68.4K,https://play.google.com/store/apps/details?id=com.mysugr.android.companion,"Jun 20, 2022","Dec 6, 2013","1,000,000+ ",3.92.33,MT,MEDICAL
3297,A Manual of Acupuncture,PEGI 3,0,True,3.4,549,https://play.google.com/store/apps/details?id=com.cards,"Sep 27, 2020","Sep 25, 2014","10,000+ ",3.2.0,MT,MEDICAL
3298,Instant Body Temperature Checker : Fever Tracker,PEGI 3,0,True,3.3,4.99K,https://play.google.com/store/apps/details?id=com.newhealthfitnesstoolsapps.body.temperature.logger.thermometer.fever.tracker.test.checker.diary.info.history,"Sep 20, 2021","Dec 3, 2020","1,000,000+ ",1.3.5,MT,MEDICAL
3299,PeduliLindungi,PEGI 3,0,False,2.2,954K,https://play.google.com/store/apps/details?id=com.telkom.tracencare,"Jun 11, 2022","Aug 2, 2021","50,000,000+ ",4.4.6,MT,MEDICAL
3300,Albert Health Assistant,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=albert.health,"May 31, 2022","Jul 7, 2019","100,000+ ",1.41.2,MT,MEDICAL
3301,Mobile JKN,PEGI 3,0,False,3.4,361K,https://play.google.com/store/apps/details?id=app.bpjs.mobile,"May 23, 2022","Apr 17, 2016","10,000,000+ ",4.1.3,MT,MEDICAL
3302,FP Notebook,PEGI 3,0,True,4.2,640,https://play.google.com/store/apps/details?id=com.usbmis.troposphere.fpnb,"Apr 26, 2022","Jun 3, 2014","50,000+ ",3.1.3.510,MT,MEDICAL
3303,MyTherapy Pill Reminder,PEGI 3,0,False,4.6,135K,https://play.google.com/store/apps/details?id=eu.smartpatient.mytherapy,"Jun 21, 2022","Apr 14, 2015","5,000,000+ ",3.88.4,MT,MEDICAL
3304,Journal Club: Medicine,PEGI 3,£6.49,False,4.7,263,https://play.google.com/store/apps/details?id=org.wikijournalclub,"Sep 12, 2019","Mar 9, 2013","10,000+ ",Varies with device,MT,MEDICAL
3305,Healthians -Full Body Checkup,PEGI 3,0,False,4.4,18.6K,https://play.google.com/store/apps/details?id=com.healthians.main.healthians,"Jun 20, 2022","Nov 9, 2017","1,000,000+ ",16.0,MT,MEDICAL
3306,TraceTogether,PEGI 3,0,False,2.9,57.1K,https://play.google.com/store/apps/details?id=sg.gov.tech.bluetrace,"May 31, 2022","Mar 9, 2020","1,000,000+ ",2.14.2,MT,MEDICAL
3307,Preventicus Heartbeats,PEGI 3,0,True,3.3,1.89K,https://play.google.com/store/apps/details?id=com.preventicus.heartbeats,"Feb 11, 2022","Jul 20, 2016","100,000+ ",1.6.16,MT,MEDICAL
3308,Amil Clientes,PEGI 3,0,False,3.7,154K,https://play.google.com/store/apps/details?id=br.com.amil.beneficiarios,"Jun 15, 2022","Apr 19, 2013","5,000,000+ ",4.48.00,MT,MEDICAL
3309,MDonCall - Practical Guide,PEGI 3,£9.99,False,4.4,51,https://play.google.com/store/apps/details?id=com.mdoncall,"May 19, 2022","Oct 25, 2012","5,000+ ",6.1.7,MT,MEDICAL
3310,Muscle Trigger Point Anatomy,PEGI 3,£2.69,False,4.5,1.59K,https://play.google.com/store/apps/details?id=com.real.bodywork.muscle.trigger.points,"Jul 30, 2019","Jan 27, 2011","50,000+ ",2.4.8,MT,MEDICAL
3311,Pregnancy Tracker,PEGI 3,0,True,4.9,313K,https://play.google.com/store/apps/details?id=com.easymobs.pregnancy,"Jun 21, 2022","May 4, 2016","5,000,000+ ",1.2.84,MT,MEDICAL
3312,Аптека Вита — поиск лекарств,PEGI 3,0,False,,,https://play.google.com/store/apps/details?id=com.platfomni.vita,"Jun 2, 2022","Oct 8, 2020","1,000,000+ ",2.6,MT,MEDICAL
3313,Mein Laborergebnis,PEGI 3,0,False,,,https://play.google.com/store/apps/details?id=de.itech_gmbh.meinlaborergebnis,"Apr 5, 2022","Apr 7, 2020","1,000,000+ ",1.4.1,MT,MEDICAL
3314,ASRA Coags,PEGI 3,£3.79,False,,,https://play.google.com/store/apps/details?id=com.asra.asracoags,"Mar 10, 2022","May 26, 2015","10,000+ ",2.3.3,MT,MEDICAL
3315,AlbuSoins,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=fr.albus.albusoins,"May 2, 2022","Nov 17, 2016","10,000+ ",1.4.8,MT,MEDICAL
3316,Dr Lal PathLabs,PEGI 3,0,False,3.5,20.3K,https://play.google.com/store/apps/details?id=pathlabs.com.pathlabs,"Apr 8, 2022","Feb 29, 2016","1,000,000+ ",8.1.4,MT,MEDICAL
3317,Ratownictwo medyczne algorytmy,PEGI 3,£6.49,False,,,https://play.google.com/store/apps/details?id=pl.waw.bitmed.protokols,"Jun 23, 2022","Apr 29, 2014","5,000+ ",14.4.0,MT,MEDICAL
3318,Davis's Drug Guide,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=com.unbound.android.cqddl,"Jun 6, 2022","Jun 25, 2015","100,000+ ",2.8.04,MT,MEDICAL
3319,PMED - Preço de Procedimento,PEGI 3,£4.19,True,,,https://play.google.com/store/apps/details?id=oaz.soft,"Jun 9, 2022","Aug 22, 2012","5,000+ ",11.8,MT,MEDICAL
3320,myNFP,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=de.mynfp.mobile,"Apr 25, 2022","Aug 22, 2017","100,000+ ",3.6.0,MT,MEDICAL
3321,Monash University FODMAP diet,PEGI 3,£5.60,False,3.5,2.47K,https://play.google.com/store/apps/details?id=com.monashuniversity.fodmap,"Jan 18, 2022","Nov 6, 2013","100,000+ ",3.0.9,MT,MEDICAL
3322,MedShr: Discuss Clinical Cases,PEGI 3,0,False,4.5,10.2K,https://play.google.com/store/apps/details?id=net.medshr.android,"Feb 25, 2022","Jul 29, 2015","1,000,000+ ",15.12.1,MT,MEDICAL
3323,DrugDoses,PEGI 3,£10.32,True,4.1,272,https://play.google.com/store/apps/details?id=com.DrugDoses.v2010,"Apr 6, 2022","Sep 16, 2010","5,000+ ",6.6,MT,MEDICAL
3324,Language Therapy: Aphasia,PEGI 3,£64.99,False,4.6,76,https://play.google.com/store/apps/details?id=com.tactustherapy.languagetherapy,"Jun 17, 2022","Feb 29, 2016","1,000+ ",4.0.195,MT,MEDICAL
3325,Johns Hopkins Guides ABX...,PEGI 3,0,True,5.0,662,https://play.google.com/store/apps/details?id=com.unbound.android.ubjhl,"May 2, 2022","Jan 20, 2016","10,000+ ",2.8.10,MT,MEDICAL
3326,Petralex Hearing Aid App,PEGI 3,0,True,2.9,7.42K,https://play.google.com/store/apps/details?id=com.it4you.petralex,"Nov 2, 2021","Apr 1, 2014","1,000,000+ ",3.9.8,MT,MEDICAL
3327,INR Diary,PEGI 3,£2.09,False,,,https://play.google.com/store/apps/details?id=be.webfactor.inrdiaryplus,"Feb 6, 2022","May 19, 2020","1,000+ ",2.2.2,MT,MEDICAL
3328,Blood Pressure Analyze,PEGI 3,0,True,3.9,12.3K,https://play.google.com/store/apps/details?id=com.waterfullrainbow.bloodpressureanalyze,"Sep 9, 2021","Apr 1, 2019","1,000,000+ ",1.3.2,MT,MEDICAL
3329,"Artmed +PSI - Psicofármacos, Guidelines, DSM, CID",PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=br.com.consultamaisrapida.psiquiatria,"Sep 5, 2021","Sep 17, 2020","10,000+ ",1.0.0,MT,MEDICAL
3330,ICU Trials by ClinCalc,PEGI 3,£3.83,False,4.6,183,https://play.google.com/store/apps/details?id=com.clincalc.icutrials,"Mar 11, 2022","Jun 9, 2012","5,000+ ",3.2,MT,MEDICAL
3331,MHRS,PEGI 3,0,False,4.1,77.6K,https://play.google.com/store/apps/details?id=tr.gov.saglik.MHRSMOBIL,"Jun 9, 2022","Dec 18, 2020","10,000,000+ ",1.5.5,MT,MEDICAL
3332,Ada – check your health,PEGI 3,0,False,4.7,320K,https://play.google.com/store/apps/details?id=com.ada.app,"May 5, 2022","Mar 22, 2017","5,000,000+ ",3.17.0,MT,MEDICAL
3333,e-Anatomy,PEGI 18,0,True,3.9,2.82K,https://play.google.com/store/apps/details?id=net.imaios.eanatomy,"May 17, 2022","Oct 20, 2011","500,000+ ",5.2.7,MT,MEDICAL
3334,Doctolib,PEGI 3,0,False,4.5,330K,https://play.google.com/store/apps/details?id=fr.doctolib.www,"Jun 14, 2022","Mar 11, 2020","10,000,000+ ",3.4.11,MT,MEDICAL
3335,Full Code - Emergency Medicine Simulation,PEGI 3,0,True,4.2,2.2K,https://play.google.com/store/apps/details?id=com.minerva_medical.minerva,"Apr 20, 2022","Aug 9, 2018","100,000+ ",2.9,MT,MEDICAL
3336,ЕАПТЕКА — онлайн аптека,PEGI 3,0,False,4.5,227K,https://play.google.com/store/apps/details?id=ru.getpharma.eapteka,"Jun 20, 2022","Jan 23, 2016","5,000,000+ ",22.5.2,MT,MEDICAL
3337,ALHOSN UAE,PEGI 3,0,False,2.8,49.7K,https://play.google.com/store/apps/details?id=doh.health.shield,"Jun 21, 2022","Apr 7, 2020","5,000,000+ ",3.5.2,MT,MEDICAL
3338,Sunna Médecine,PEGI 3,£0.99,False,,,https://play.google.com/store/apps/details?id=com.decodev.sunna_medecin,"Mar 8, 2022","Mar 8, 2022",10+ ,1.0.0,MT,MEDICAL
3339,Dilumed,PEGI 3,£0.59,False,,,https://play.google.com/store/apps/details?id=com.dilumed.pay,"Sep 27, 2021","Sep 27, 2021","1,000+ ",1.0,MT,MEDICAL
3340,Visual Anatomy 2,PEGI 3,£1.59,False,4.6,939,https://play.google.com/store/apps/details?id=com.hssn.anatomy2,"Jun 9, 2022","Aug 22, 2014","10,000+ ",Varies with device,MT,MEDICAL
3341,VIDAL Mobile,PEGI 3,0,True,4.1,6.58K,https://play.google.com/store/apps/details?id=com.mobicrea.vidal,"Apr 26, 2022","Feb 21, 2013","500,000+ ",Varies with device,MT,MEDICAL
3342,Human Anatomy Atlas 2022＋,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=com.visiblebody.subscription,"May 23, 2022","Mar 7, 2022","10,000+ ",1.01.014,MT,MEDICAL
3343,SMUR BMPM,PEGI 18,£10.49,False,,,https://play.google.com/store/apps/details?id=com.SMUR.smurbmpm,"May 31, 2021","May 14, 2014","1,000+ ",4.3.8,MT,MEDICAL
3344,Vargo Anesthesia Mega App,PEGI 3,£79.99,False,,,https://play.google.com/store/apps/details?id=com.vargoanesthesia.masterapp,"Jun 3, 2022","Feb 14, 2014","5,000+ ",19.5.2,MT,MEDICAL
3345,Fetal calculator PRO,PEGI 3,£13.49,False,,,https://play.google.com/store/apps/details?id=com.profile.ifetal_premium,"Mar 3, 2020","Sep 6, 2018","1,000+ ",1.1.1,MT,MEDICAL
3346,Cardiac diagnosis-heart rate,PEGI 3,£11.99,False,3.8,431,https://play.google.com/store/apps/details?id=com.sdk.cardiac_diagnosis,"Apr 20, 2022","Jun 20, 2018","5,000+ ",25,MT,MEDICAL
3347,Lexicomp,PEGI 3,0,True,4.4,2.47K,https://play.google.com/store/apps/details?id=com.lexi.android,"Apr 19, 2022","Apr 7, 2010","500,000+ ",Varies with device,MT,MEDICAL
3348,Biloba - On-demand pediatrics,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=ba.bilo.mc,"Jun 7, 2022","Jul 10, 2020","50,000+ ",1.38.3,MT,MEDICAL
3349,Curable Pain Relief,PEGI 3,0,True,4.3,809,https://play.google.com/store/apps/details?id=com.curablehealth.clara,"Mar 4, 2022","Dec 19, 2017","100,000+ ",4.13.3,MT,MEDICAL
3350,"MediBuddy-Online Dr, Lab, Meds",PEGI 3,0,False,4.5,153K,https://play.google.com/store/apps/details?id=in.medibuddy,"Jun 22, 2022","Jul 8, 2014","1,000,000+ ",3.2.08,MT,MEDICAL
3351,หมอพร้อม,PEGI 3,0,False,2.5,84.8K,https://play.google.com/store/apps/details?id=com.mor.promplus,"Apr 4, 2022","Jun 19, 2021","10,000,000+ ",0.7.9,MT,MEDICAL
3352,Blood Pressure App: Heart Rate,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=blood.pressure.heart.rate.monitor.pulse.tracker.app.hch,"May 22, 2022","Dec 13, 2021","100,000+ ",1.4.2,MT,MEDICAL
3353,Netmeds - India Ki Pharmacy,PEGI 3,0,False,4.4,461K,https://play.google.com/store/apps/details?id=com.NetmedsMarketplace.Netmeds,"May 12, 2022","Nov 8, 2015","10,000,000+ ",8.2.34,MT,MEDICAL
3354,TousAntiCovid,PEGI 3,0,False,4.2,225K,https://play.google.com/store/apps/details?id=fr.gouv.android.stopcovid,"Jun 20, 2022","Jun 2, 2020","10,000,000+ ",4.3.0,MT,MEDICAL
3355,AVAX Blood Pressure Diary,PEGI 3,0,True,4.5,6.42K,https://play.google.com/store/apps/details?id=app.avax.health,"Jun 16, 2022","Dec 31, 2018","100,000+ ",6.9.5,MT,MEDICAL
3356,GNDI Easy,PEGI 3,0,False,2.6,109K,https://play.google.com/store/apps/details?id=br.com.gndi.beneficiario.gndieasy,"Jun 23, 2022","Sep 3, 2018","1,000,000+ ",1.0.85,MT,MEDICAL
3357,Apteka.RU,None,0,False,4.7,186K,https://play.google.com/store/apps/details?id=ru.apteka,"Jun 17, 2022","May 25, 2020","5,000,000+ ",4.0.28.22342537,MT,MEDICAL
3358,Body Temperature Thermometer,PEGI 12,0,True,3.8,6.82K,https://play.google.com/store/apps/details?id=com.bodytemperatureThermometer.feverRecordsdiary,"Nov 21, 2021","Oct 15, 2020","1,000,000+ ",1.2,MT,MEDICAL
3359,FibriCheck,PEGI 3,0,True,3.3,6.32K,https://play.google.com/store/apps/details?id=com.qompium.fibricheck,"Jun 2, 2022","Aug 23, 2016","500,000+ ",2.3.0,MT,MEDICAL
3360,SimMon,PEGI 3,£18.49,False,,,https://play.google.com/store/apps/details?id=dk.castleandersen.simmon,"Oct 27, 2020","Oct 23, 2019",500+ ,1.1,MT,MEDICAL
3361,5-Minute Clinical Consult,PEGI 3,0,True,,,https://play.google.com/store/apps/details?id=com.unbound.android.cq59l,"May 2, 2022","May 11, 2015","10,000+ ",2.8.10,MT,MEDICAL
3362,ASCCP Management Guidelines,PEGI 3,£9.49,False,,,https://play.google.com/store/apps/details?id=org.asccp.app2019,"Feb 9, 2022","Jun 20, 2020","10,000+ ",1.7,MT,MEDICAL
3363,Advanced Naming Therapy,PEGI 3,£21.99,False,,,https://play.google.com/store/apps/details?id=com.tactustherapy.advancednaming,"Feb 3, 2022","Jun 9, 2017",500+ ,2.0.107,MT,MEDICAL
3364,CoPE Paediatric Emergency,PEGI 3,£0.81,False,,,https://play.google.com/store/apps/details?id=dk.centic.cope,"Jan 18, 2019","Aug 26, 2013","1,000+ ",2.0-cope,MT,MEDICAL
3365,Freya • Surge Timer,PEGI 3,£2.49,False,3.9,284,https://play.google.com/store/apps/details?id=com.thepositivebirthcompany.freyasurgetimer,"Jun 12, 2020","Dec 23, 2019","10,000+ ",2.0.56,MT,MEDICAL
